iter	Passed	Remaining
0	50	1019160
1	112	1129869
2	183	1221315
3	237	1188899
4	294	1176761
5	363	1212070
6	412	1177214
7	478	1196872
8	537	1193195
9	579	1159359
10	635	1155008
11	683	1139296
12	727	1119017
13	798	1140328
14	860	1146913
15	913	1141220
16	964	1133225
17	1008	1119522
18	1062	1117382
19	1104	1103690
20	1180	1122785
21	1239	1125332
22	1275	1107768
23	1334	1110383
24	1500	1198942
25	1551	1192044
26	1616	1195489
27	1689	1205412
28	1753	1207219
29	1819	1211006
30	1874	1207578
31	1930	1204332
32	1969	1191776
33	2023	1188527
34	2070	1181304
35	2125	1178851
36	2193	1183303
37	2252	1183045
38	2293	1174000
39	2352	1173692
40	2410	1173429
41	2458	1168357
42	2512	1165976
43	2568	1164957
44	2618	1160954
45	2665	1156170
46	2723	1156255
47	2777	1154432
48	2831	1152681
49	2891	1153531
50	2947	1152951
51	3003	1152275
52	3065	1153848
53	3111	1149384
54	3179	1152915
55	3238	1153260
56	3297	1153773
57	3355	1153655
58	3411	1153105
59	3468	1152813
60	3520	1150782
61	3564	1146365
62	3620	1145653
63	3676	1145254
64	3736	1146081
65	3817	1152861
66	3880	1154329
67	3936	1153784
68	4000	1155662
69	4053	1154106
70	4107	1153047
71	4167	1153402
72	4218	1151638
73	4259	1147016
74	4396	1167973
75	4497	1179031
76	4561	1180178
77	4652	1188168
78	4738	1194972
79	4815	1198942
80	4880	1200151
81	4929	1197334
82	4982	1195618
83	5040	1195081
84	5083	1190929
85	5131	1188141
86	5178	1185390
87	5213	1179745
88	5265	1177900
89	5306	1173881
90	5372	1175350
91	5416	1172087
92	5471	1171135
93	5534	1172069
94	5587	1170687
95	5645	1170472
96	5686	1166713
97	5726	1163042
98	5828	1171735
99	5906	1175424
100	5968	1175900
101	6038	1177965
102	6078	1174223
103	6130	1172839
104	6183	1171534
105	6221	1167676
106	6274	1166574
107	6335	1166849
108	6383	1164848
109	6444	1165200
110	6504	1165413
111	6556	1164208
112	6615	1164241
113	6661	1162017
114	6710	1160265
115	6760	1158822
116	6824	1159760
117	6885	1160136
118	6950	1161248
119	7003	1160229
120	7047	1157758
121	7097	1156456
122	7164	1157845
123	7205	1155002
124	7267	1155564
125	7320	1154624
126	7364	1152369
127	7402	1149228
128	7454	1148307
129	7510	1147970
130	7559	1146512
131	7600	1144009
132	7666	1145131
133	7721	1144670
134	7785	1145559
135	7838	1144874
136	7888	1143709
137	7950	1144317
138	8003	1143633
139	8046	1141410
140	8095	1140193
141	8156	1140666
142	8201	1138921
143	8254	1138160
144	8309	1137816
145	8348	1135277
146	8397	1134056
147	8443	1132608
148	8484	1130379
149	8555	1132156
150	8589	1129147
151	8627	1126628
152	8675	1125388
153	8714	1123028
154	8802	1126975
155	8849	1125646
156	8903	1125254
157	8947	1123632
158	8998	1122948
159	9072	1125011
160	9117	1123487
161	9172	1123239
162	9211	1121002
163	9262	1120286
164	9304	1118557
165	9344	1116463
166	9399	1116291
167	9439	1114352
168	9483	1112820
169	9546	1113578
170	9608	1114196
171	9647	1112163
172	9686	1110171
173	9756	1111669
174	9793	1109481
175	9832	1107472
176	9874	1105835
177	9912	1103901
178	9942	1100933
179	10006	1101772
180	10051	1100659
181	10107	1100608
182	10147	1098909
183	10175	1095883
184	10248	1097657
185	10291	1096338
186	10334	1094960
187	10383	1094231
188	10438	1094150
189	10487	1093477
190	10533	1092414
191	10595	1093072
192	10657	1093727
193	10700	1092422
194	10769	1093754
195	10802	1091541
196	10855	1091266
197	10900	1090186
198	10946	1089223
199	10997	1088719
200	11047	1088247
201	11080	1085973
202	11138	1086243
203	11186	1085533
204	11234	1084810
205	11268	1082719
206	11320	1082409
207	11364	1081358
208	11400	1079600
209	11448	1078922
210	11514	1079871
211	11582	1081080
212	11643	1081598
213	11716	1083271
214	11774	1083553
215	11832	1083799
216	11903	1085166
217	11967	1085972
218	12010	1084834
219	12051	1083495
220	12089	1081988
221	12118	1079661
222	12173	1079612
223	12239	1080585
224	12280	1079314
225	12327	1078642
226	12377	1078128
227	12413	1076490
228	12459	1075686
229	12505	1074905
230	12559	1074841
231	12608	1074361
232	12654	1073572
233	12691	1072068
234	12774	1074417
235	12812	1072969
236	12877	1073863
237	12918	1072638
238	12965	1071986
239	13026	1072551
240	13064	1071102
241	13121	1071302
